total_cost,holding_cost,expedite_cost,lost_sales_cost
565890.8134927738,181577.97643935218,308057.9256470889,76254.9114063327
444115.20974436164,141243.44181062636,302871.7679337353,0.0
279757.4336395522,88165.04915212339,191592.38448742882,0.0
217158.0358814093,111982.7098159994,0.0,105175.3260654099
102850.04600778405,102850.04600778405,0.0,0.0
454187.64316568966,156136.35913327555,298051.28403241414,0.0
95638.09840106514,95638.09840106514,0.0,0.0
99725.99246210691,99725.99246210691,0.0,0.0
884130.3912797251,190506.7678721513,509451.7456576172,184171.8777499566
117112.6982325765,87008.12784140349,0.0,30104.570391173012
93188.21134194602,93188.21134194602,0.0,0.0
295358.7920811874,104458.30266381029,0.0,190900.48941737713
371542.01249943156,97994.20570091387,270255.0927458876,3292.7140526301214
524852.68630451,120567.59586720048,208182.80227599316,196102.28816131636
1088254.6020167382,228254.04100486691,810237.1897424366,49763.3712694345
515669.68886084575,177780.4811537289,283533.5575339753,54355.65017314159
218765.86844941092,90188.0055278204,0.0,128577.86292159052
305156.9420851299,94312.6435894465,210844.29849568344,0.0
378987.34568439657,122346.59972594447,256640.7459584521,0.0
696215.9754868152,201957.75111755377,303828.1907360217,190430.03363323986
182163.37014967235,136223.04000985823,0.0,45940.33013981413
494779.7386461274,138199.19475434575,293584.56051515765,62995.98337662403
376148.1044554698,125003.07655558345,251145.02789988637,0.0
92154.40547971558,92154.40547971558,0.0,0.0
119112.82281774297,119112.82281774297,0.0,0.0
114408.19949482748,114408.19949482748,0.0,0.0
407815.89586165786,136417.38717988157,271398.5086817763,0.0
717319.018446017,156241.42089003252,561077.5975559845,0.0
117420.04340377313,117420.04340377313,0.0,0.0
344064.4884953769,119197.13849828255,224867.34999709437,0.0
78919.42914070853,78919.42914070853,0.0,0.0
165370.1448801499,107823.38351333817,0.0,57546.76136681172
404549.1330766642,104543.3616380769,245170.74421935936,54835.027219227944
67169.71084072824,67169.71084072824,0.0,0.0
371459.81713781576,124334.03102661966,247125.7861111961,0.0
479805.676847713,183726.38098105724,286823.04969210585,9256.246174549931
533459.2964405259,150993.75124461844,382465.5451959075,0.0
104832.98253138261,104832.98253138261,0.0,0.0
76779.82418039767,76779.82418039767,0.0,0.0
98021.00819925619,98021.00819925619,0.0,0.0
112886.10898860422,82383.79301903475,0.0,30502.315969569463
161036.38838827593,95086.83357851353,0.0,65949.55480976238
790680.2302846909,163966.03104016147,626714.1992445294,0.0
417484.3561460488,136207.4099149765,281276.9462310723,0.0
105807.13133877328,105807.13133877328,0.0,0.0
896497.4607404512,184188.01972466742,409700.4891571305,302608.9518586533
92329.41347528271,92329.41347528271,0.0,0.0
76375.63377168567,76375.63377168567,0.0,0.0
470186.8306046389,142785.21755619594,233986.02453274213,93415.58851570085
720003.9986359854,166693.0571971304,553310.941438855,0.0
288313.41584658204,121616.38712689238,0.0,166697.02871968964
403417.68305924674,147443.71117107716,255973.9718881696,0.0
386913.8682308907,149339.7999797252,231087.5097810965,6486.558470068971
361527.4687063104,124860.33318733083,236667.13551897954,0.0
344302.99217319954,122204.24560908478,222098.7465641148,0.0
274157.7598207344,99695.46475423266,174462.2950665017,0.0
110285.42964193747,110285.42964193747,0.0,0.0
448680.48917926964,114668.43563805587,334012.05354121374,0.0
101680.69684900194,101680.69684900194,0.0,0.0
417070.0073676783,133505.17685434228,234242.0219676142,49322.8085457218
383292.17135471303,130914.00399748262,252378.1673572304,0.0
82781.6256387137,82781.6256387137,0.0,0.0
256579.07569089526,118115.74839930939,0.0,138463.32729158585
94884.13365723289,94884.13365723289,0.0,0.0
93530.40064764653,93530.40064764653,0.0,0.0
870673.4541097241,203133.02714930358,667540.4269604206,0.0
374907.1289216403,113201.5912603042,261705.5376613361,0.0
458660.48122365854,173035.14861568264,285625.33260797587,0.0
455154.49430601124,148526.72401652805,258733.99711952373,47893.77316995941
349868.24837921397,124517.12402497456,225351.12435423944,0.0
646442.7257971283,141664.86762986422,504777.858167264,0.0
162727.5627758297,82125.98430709606,0.0,80601.57846873363
403371.42087076703,117992.1141425623,214402.30091364187,70977.00581456283
487435.9701959691,169799.88676251017,314208.3386774877,3427.7447559712186
78022.87088754796,78022.87088754796,0.0,0.0
91069.85622415802,91069.85622415802,0.0,0.0
380865.2487741022,134796.81541752405,246068.43335657814,0.0
354186.2344674162,105944.0554551293,248242.1790122869,0.0
585347.6383201606,188059.27420678802,293351.3524692738,103937.01164409879
418588.50377413793,148342.35396176964,270246.1498123683,0.0
479249.8795698459,130861.95074488793,297748.0881111332,50639.8407138248
67395.01726658628,67395.01726658628,0.0,0.0
99257.68983266037,99257.68983266037,0.0,0.0
95478.77512019241,95478.77512019241,0.0,0.0
317728.28716743813,134743.17434922612,0.0,182985.11281821202
129380.59820027329,113980.62080469281,0.0,15399.977395580483
279497.23725380073,133619.60814412934,0.0,145877.62910967137
257842.7586582347,127964.28219769828,0.0,129878.47646053642
285973.3733905276,114541.87002189277,0.0,171431.50336863485
405254.5675003347,125637.3667522363,0.0,279617.20074809843
495536.8170766665,124496.51976462014,181054.05957793604,189986.23773411033
65147.07995328717,65147.07995328717,0.0,0.0
749841.2768428153,189583.24336063306,560258.0334821823,0.0
78937.89764749346,78937.89764749346,0.0,0.0
98400.0632029271,98400.0632029271,0.0,0.0
100521.86015568938,100521.86015568938,0.0,0.0
151709.07560326898,140004.19549362594,0.0,11704.880109643034
86859.79872787835,86859.79872787835,0.0,0.0
180992.91582953488,121566.07326816508,0.0,59426.84256136978
97085.49266972947,97085.49266972947,0.0,0.0
296122.5684535969,119396.94914594025,0.0,176725.61930765669
92337.49741942059,92337.49741942059,0.0,0.0
109830.15873580666,109830.15873580666,0.0,0.0
92923.62252423559,92923.62252423559,0.0,0.0
757401.5375544364,156995.36761275437,267625.9332439336,332780.2366977484
78858.62409331181,78858.62409331181,0.0,0.0
104842.29795396597,104842.29795396597,0.0,0.0
97719.85996833607,97719.85996833607,0.0,0.0
134991.51255681922,79179.65034118928,0.0,55811.86221562994
